species	Linf	Lmat	a	b	Winf	Wmat	Wmin	k_vb	alpha	beta	sigma	fishery_name	L25	L50	SSB_8595	Catch_8595	F0_8595
Sprat	16.174	12.009	0.007	3.014	30.79454563	12.55254163	0.001	0.469	0.6	51076	0.8	I	7.636	8.139	NA	NA	0.6766
Sandeel	18.613	11	0.001243	3.32	20.42967705	3.563648356	0.001	0.758	0.6	398849	1.9	I	9.832	11.824	827221.82	757771.36	0.5651212
N.pout	21.775	14.349	0.009	2.941	77.47783363	22.72243866	0.001	0.606	0.6	21.5	1.5	I	8.694	12.236	133012.91	186636.36	0.8830909
Herring	30.816	23.36	0.002	3.429	254.7087179	98.51976306	0.001	0.505	0.6	280540	3.2	P	10.129	20.79	822831.27	690177.18	0.5905818
Dab	27.108	13	0.01	2.986	190.2081258	21.19506974	0.001	0.375	0.6	191	1.9	BT	11.517	17.037	NA	NA	0.6269091
Whiting	38.881	21.401	0.006	3.08	472.6531136	75.14293892	0.001	0.457	0.6	22	1.5	OT	19.813	29.019	287942	52750.67	0.7316667
Sole	34.831	20.966	0.008	3.019	361.6472522	78.1169948	0.001	0.441	0.6	381	1.9	BT	16.401	25.8	55481.82	26918.18	0.5102727
Gurnard	35.649	17.69	0.004	3.198	367.7116779	39.11052097	0.001	0.191	0.6	283	1.8	OT	19.813	29.019	NA	NA	0.7316667
Plaice	43.449	22.194	0.007	3.101	840.3754456	104.6585176	0.001	0.255	0.6	113	1.6	BT	11.517	17.037	334845.45	226681.82	0.6269091
Haddock	48.242	26.905	0.005	3.16	1043.743938	164.9082082	0.001	0.382	0.6	558	2.1	OT	19.093	24.345	151093.18	155628.64	0.9636364
Cod	137.952	54.389	0.005	3.173	30784.1348	1606.004071	0.001	0.183	0.6	66	1.3	OT	13.199	22.874	92023.09	173432.21	0.9042727
Saithe	152.119	48.618	0.007	3.075	35918.00322	1076.462957	0.001	0.075	0.6	40	1.1	OT	35.317	43.551	127954.55	135045.45	0.6164545
